name,full_name,stars,forks,watchers,open_issues,size,has_wiki,has_projects,has_downloads,is_fork,archived,created_at,updated_at,pushed_at,language,license,subscribers_count,contributors_count,commits_count,readme_size
cursor,getcursor/cursor,29652,1871,29652,1664,2062,1,1,1,0,0,2023-03-12T00:19:42Z,2025-05-04T07:25:30Z,2024-10-13T19:23:26Z,,,30,28,30,458
CasaOS,IceWhaleTech/CasaOS,29639,1609,29639,649,182617,1,1,1,0,0,2021-09-26T02:33:09Z,2025-05-04T07:32:38Z,2025-04-17T09:48:57Z,Go,apache-2.0,30,24,30,18858
rocksdb,facebook/rocksdb,29609,6467,29609,1177,227014,1,1,1,0,0,2012-11-30T06:16:18Z,2025-05-04T05:14:28Z,2025-05-02T20:12:44Z,C++,gpl-2.0,30,30,30,1689
k9s,derailed/k9s,29581,1871,29581,598,66514,1,1,1,0,0,2019-01-25T18:46:02Z,2025-05-03T20:45:06Z,2025-05-03T13:53:15Z,Go,apache-2.0,30,30,30,49052
alpine,alpinejs/alpine,29567,1285,29567,42,9043,0,0,1,0,0,2019-11-28T13:51:55Z,2025-05-04T07:16:25Z,2025-03-28T15:10:54Z,HTML,mit,30,30,30,3348
project-guidelines,elsewhencode/project-guidelines,29560,3212,29560,15,507,1,1,1,0,0,2017-06-30T10:17:55Z,2025-05-04T04:41:06Z,2024-12-09T07:59:04Z,JavaScript,mit,30,30,30,43433
mediapipe,google-ai-edge/mediapipe,29559,5334,29559,552,603481,1,1,1,0,0,2019-06-13T19:16:41Z,2025-05-04T06:41:16Z,2025-05-02T20:36:58Z,C++,apache-2.0,30,30,30,8029
drawdb,drawdb-io/drawdb,29544,2066,29544,90,5532,0,1,1,0,0,2023-07-16T17:09:20Z,2025-05-04T07:37:52Z,2025-05-02T14:50:00Z,JavaScript,agpl-3.0,30,30,30,2127
particles.js,VincentGarreau/particles.js,29540,4853,29540,361,158,1,1,1,0,0,2014-09-06T14:29:47Z,2025-05-04T06:42:17Z,2024-03-28T03:21:07Z,JavaScript,mit,30,12,30,7502
GPT_API_free,chatanywhere/GPT_API_free,29527,2139,29527,13,5577,1,1,1,0,0,2023-04-23T12:42:08Z,2025-05-04T06:42:45Z,2025-04-19T03:10:33Z,Python,mit,30,2,30,23651
react-boilerplate,react-boilerplate/react-boilerplate,29524,6112,29524,130,8943,0,0,1,0,0,2015-02-18T14:36:32Z,2025-05-04T02:57:21Z,2023-03-23T21:35:09Z,JavaScript,mit,30,30,30,17398
Mr.-Ranedeer-AI-Tutor,JushBJJ/Mr.-Ranedeer-AI-Tutor,29516,3372,29516,13,223,0,1,1,0,0,2023-03-31T12:37:26Z,2025-05-03T07:06:47Z,2024-03-25T13:06:55Z,,,30,11,30,10478
phantomjs,ariya/phantomjs,29499,5751,29499,14,164709,1,1,1,0,1,2010-12-27T08:18:58Z,2025-05-03T21:06:58Z,2022-11-26T19:43:12Z,C++,bsd-3-clause,30,30,30,2238
k3s,k3s-io/k3s,29495,2429,29495,123,583660,1,1,1,0,0,2018-05-31T01:37:46Z,2025-05-04T03:49:04Z,2025-05-02T19:14:36Z,Go,apache-2.0,30,30,30,10792
desktop,zen-browser/desktop,29492,809,29492,391,5891677,1,1,1,0,0,2024-03-28T00:05:55Z,2025-05-04T07:12:32Z,2025-05-04T00:19:41Z,JavaScript,mpl-2.0,30,30,30,5321
awesome-macos-command-line,herrbischoff/awesome-macos-command-line,29477,1441,29477,0,0,0,0,1,0,1,2015-09-22T19:37:55Z,2025-05-04T06:21:18Z,2021-09-02T13:26:37Z,,,30,1,1,1465
apollo,apolloconfig/apollo,29464,10218,29464,134,56548,1,1,1,0,0,2016-03-04T10:24:23Z,2025-05-03T09:22:13Z,2025-04-25T01:26:31Z,Java,apache-2.0,30,30,30,50727
500lines,aosabook/500lines,29461,5870,29461,59,60251,1,1,1,0,0,2013-11-04T02:02:53Z,2025-05-03T21:53:33Z,2023-08-19T11:18:34Z,JavaScript,other,30,30,30,11863
CheatSheetSeries,OWASP/CheatSheetSeries,29428,4130,29428,37,1815366,0,1,1,0,0,2018-12-21T14:26:43Z,2025-05-04T05:57:05Z,2025-05-01T17:39:03Z,Python,cc-by-sa-4.0,30,30,30,3978
server,nextcloud/server,29423,4257,29423,2566,5197549,1,1,1,0,0,2016-06-02T07:44:14Z,2025-05-04T06:47:19Z,2025-05-04T03:02:13Z,PHP,agpl-3.0,30,30,30,6140
numpy,numpy/numpy,29416,10795,29416,2289,157241,1,1,1,0,0,2010-09-13T23:02:39Z,2025-05-04T07:24:57Z,2025-05-03T17:03:10Z,Python,other,30,30,30,4056
cheerio,cheeriojs/cheerio,29405,1668,29405,46,19169,1,0,1,0,0,2011-10-09T04:23:20Z,2025-05-04T06:05:39Z,2025-04-30T03:26:44Z,TypeScript,mit,30,30,30,8731
pytorch-lightning,Lightning-AI/pytorch-lightning,29397,3487,29397,990,133064,1,1,1,0,0,2019-03-31T00:45:57Z,2025-05-03T14:12:07Z,2025-05-04T00:30:59Z,Python,apache-2.0,30,30,30,25929
Data-Science-For-Beginners,microsoft/Data-Science-For-Beginners,29391,6135,29391,56,71370,0,0,1,0,0,2021-03-03T16:30:15Z,2025-05-04T06:50:02Z,2025-02-13T17:12:03Z,Jupyter Notebook,mit,30,30,30,17512
vnpy,vnpy/vnpy,29378,9535,29378,19,269163,1,1,1,0,0,2015-03-02T03:36:58Z,2025-05-04T07:04:44Z,2025-04-29T13:12:23Z,Python,mit,30,30,30,20348
algo,trailofbits/algo,29357,2341,29357,192,3130,0,1,1,0,0,2016-05-15T03:42:48Z,2025-05-04T06:48:55Z,2024-08-30T02:15:55Z,Jinja,agpl-3.0,30,30,30,17936
Hover,IanLunn/Hover,29346,5763,29346,42,994,1,1,1,0,0,2014-01-02T14:27:35Z,2025-05-04T07:17:06Z,2023-10-28T16:07:33Z,SCSS,other,30,19,30,14461
awesome-python-cn,jobbole/awesome-python-cn,29345,7972,29345,23,1584,1,0,1,0,0,2015-11-03T09:50:50Z,2025-05-04T07:36:54Z,2022-08-29T11:28:59Z,Makefile,other,30,30,30,109392
folly,facebook/folly,29323,5688,29323,377,47376,1,1,1,0,0,2012-06-01T20:49:04Z,2025-05-04T03:18:16Z,2025-05-03T02:22:08Z,C++,apache-2.0,30,30,30,11007
standard,standard/standard,29310,2321,29310,128,3659,0,0,1,0,0,2015-01-27T01:23:31Z,2025-05-04T05:23:46Z,2024-09-13T12:48:47Z,JavaScript,mit,30,30,30,36759
